country,platform,month_latest,month_prev,total_seller_scope_prev,seller_with_vendor_data_latest,coverage_ratio,coverage_status,coverage_status_detail
ID,LAZ,2025-12,2025-11,4058.0,4455,109.78%,pass,normal
ID,SHP,2025-12,2025-11,2492.0,2892,116.05%,pass,normal
MY,LAZ,2025-12,2025-11,4494.0,4749,105.67%,pass,normal
MY,SHP,2025-12,2025-11,2167.0,2579,119.01%,pass,normal
PH,LAZ,2025-12,2025-11,2888.0,4902,169.74%,pass,normal
PH,SHP,2025-12,2025-11,2847.0,5735,201.44%,pass,normal
SG,LAZ,2025-12,2025-11,2400.0,2340,97.5%,pass,normal
SG,SHP,2025-12,2025-11,1533.0,1796,117.16%,pass,normal
TH,LAZ,2025-12,2025-11,5312.0,5591,105.25%,pass,normal
TH,SHP,2025-12,2025-11,2648.0,3213,121.34%,pass,normal
TW,SHP,2025-12,2025-11,0.0,343,-,fail,new-in-latest
VN,LAZ,2025-12,2025-11,4399.0,4445,101.05%,pass,normal
VN,SHP,2025-12,2025-11,2671.0,3026,113.29%,pass,normal
